iter	Passed	Remaining
0	2	279
1	8	427
2	12	398
3	15	360
4	17	325
5	18	292
6	20	268
7	22	256
8	24	242
9	25	229
10	27	219
11	28	209
12	30	201
13	31	193
14	33	187
15	34	182
16	36	176
17	38	174
18	40	172
19	42	169
20	44	166
21	46	164
22	48	160
23	49	157
24	51	155
25	53	152
26	55	149
27	56	145
28	58	142
29	59	139
30	61	135
31	62	132
32	64	129
33	65	127
34	67	126
35	69	124
36	71	122
37	73	119
38	74	117
39	76	114
40	77	112
41	78	108
42	80	106
43	82	104
44	84	103
45	85	100
46	87	98
47	88	96
48	90	93
49	91	91
50	93	89
51	95	88
52	97	86
53	98	84
54	99	81
55	101	79
56	102	77
57	104	75
58	105	73
59	107	71
60	108	69
61	111	68
62	112	66
63	114	64
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	123	52
70	125	51
71	127	49
72	129	47
73	130	45
74	132	44
75	133	42
76	135	40
77	136	38
78	138	36
79	140	35
80	143	33
81	146	32
82	147	30
83	149	28
84	150	26
85	152	24
86	153	22
87	155	21
88	157	19
89	158	17
90	160	15
91	161	14
92	163	12
93	164	10
94	166	8
95	167	6
96	170	5
97	171	3
98	173	1
99	175	0
