iter	Passed	Remaining
0	147	147336
1	149	74791
2	153	50906
3	155	38689
4	163	32511
5	165	27491
6	168	23862
7	176	21862
8	179	19718
9	181	17967
10	184	16614
11	194	16008
12	197	14993
13	205	14464
14	209	13785
15	212	13093
16	217	12583
17	221	12084
18	224	11575
19	231	11322
20	236	11017
21	238	10605
22	246	10457
23	248	10123
24	251	9812
25	261	9789
26	264	9532
27	266	9267
28	269	9008
29	278	8999
30	280	8766
31	283	8569
32	289	8497
33	293	8331
34	299	8251
35	306	8219
36	311	8117
37	322	8175
38	326	8044
39	329	7913
40	335	7852
41	338	7728
42	346	7715
43	349	7595
44	353	7499
45	363	7534
46	367	7443
47	380	7547
48	383	7445
49	387	7360
50	391	7277
51	393	7180
52	396	7090
53	399	7000
54	403	6934
55	406	6845
56	408	6752
57	410	6664
58	412	6579
59	417	6539
60	419	6464
61	422	6385
62	424	6309
63	426	6236
64	433	6231
65	436	6173
66	439	6118
67	443	6074
68	446	6023
69	449	5974
70	452	5920
71	458	5908
72	461	5861
73	467	5847
74	470	5801
75	473	5760
76	476	5712
77	479	5664
78	482	5619
79	487	5603
80	505	5735
81	508	5692
82	510	5635
83	513	5595
84	517	5566
85	519	5526
86	522	5485
87	525	5449
88	536	5495
89	540	5460
90	542	5418
91	547	5408
92	550	5365
93	552	5324
94	554	5286
95	561	5283
96	563	5245
97	565	5206
98	568	5169
99	575	5175
100	577	5142
101	580	5110
102	582	5075
103	585	5042
104	592	5050
105	595	5025
106	604	5044
107	607	5018
108	611	5002
109	615	4981
110	623	4994
111	627	4973
112	630	4952
113	636	4944
114	640	4926
115	646	4927
116	650	4907
117	652	4879
118	659	4880
119	663	4864
120	666	4838
121	668	4813
122	671	4785
123	676	4778
124	679	4756
125	682	4734
126	684	4705
127	686	4678
128	696	4701
129	698	4674
130	700	4648
131	702	4620
132	708	4618
133	710	4594
134	712	4568
135	714	4540
136	716	4515
137	723	4517
138	725	4496
139	728	4474
140	731	4458
141	734	4435
142	739	4430
143	741	4406
144	743	4383
145	745	4360
146	747	4338
147	750	4320
148	752	4299
149	755	4278
150	757	4257
151	759	4236
152	764	4231
153	766	4212
154	768	4192
155	771	4172
156	773	4152
157	778	4146
158	780	4127
159	782	4107
160	783	4084
161	786	4066
162	788	4047
163	793	4043
164	795	4026
165	798	4010
166	800	3994
167	802	3976
168	807	3973
169	810	3959
170	813	3944
171	816	3929
172	820	3924
173	823	3908
174	825	3892
175	827	3875
176	829	3859
